26.0	18
26.1	18
26.2	22
26.3	14
26.4	21
26.5	12
26.6	22
26.7	21
26.8	15
26.9	17
27.0	18
27.1	19
27.2	17
27.3	19
27.4	19
27.5	21
27.6	22
27.7	18
27.8	20
27.9	22
28.0	19
28.1	14
28.2	21
28.3	22
28.4	21
28.5	28
28.6	23
28.7	16
28.8	18
28.9	24
29.0	28
29.1	19
29.2	26
29.3	23
29.4	38
29.5	22
29.6	27
29.7	29
29.8	56
29.9	62
30.0	82
30.1	88
30.2	92
30.3	88
30.4	54
30.5	49
30.6	33
30.7	38
30.8	40
30.9	33
31.0	34
31.1	31
31.2	24
31.3	37
31.4	30
31.5	33
31.6	19
31.7	21
31.8	23
31.9	21
32.0	27
32.1	27
32.2	27
32.3	32
32.4	19
32.5	28
32.6	25
32.7	26
32.8	24
32.9	31
33.0	24
33.1	31
33.2	39
33.3	22.3
33.4	40
33.5	28
33.6	26
33.7	40
33.8	26
33.9	42
34.0	35
34.1	37
34.2	42
34.3	52
34.4	40
34.5	48
34.6	55
34.7	60
34.8	76
34.9	70
35.0	91
35.1	114
35.2	157
35.3	210
35.4	261
35.5	274
35.6	262
35.7	234
35.8	154
35.9	103
36.0	87
36.1	68
36.2	65
36.3	53
36.4	64
36.5	37
36.6	33
36.7	37
36.8	46
36.9	46
37.0	46
37.1	39
37.2	34
37.3	36
37.4	28
37.5	21
37.6	29
37.7	23
37.8	26
37.9	23
38.0	23
38.1	18
38.2	18
38.3	24
38.4	17
38.5	11
38.6	12
38.7	19
38.8	21
38.9	17
39.0	16
39.1	19
39.2	16
39.3	21
39.4	9
39.5	21
39.6	13
39.7	9
39.8	22
39.9	16
40.0	9
40.1	7
40.2	21
40.3	18
40.4	8
40.5	17
40.6	18
40.7	17
40.8	17
40.9	10
41.0	21
41.1	14
41.2	17
41.3	13
41.4	14
41.5	11
41.6	20
41.7	15
41.8	23
41.9	13
42.0	16
42.1	23
42.2	24
42.3	13
42.4	25
42.5	31
42.6	34
42.7	38
42.8	48
42.9	56
43.0	54
43.1	76
43.2	71
43.3	57
43.4	60
43.5	38
43.6	43
43.7	31
43.8	34
43.9	24
44.0	19
44.1	25
44.2	17
44.3	19
44.4	20
44.5	21
44.6	15
44.7	15
44.8	22
44.9	15
45.0	11
45.1	14
45.2	15
45.3	11
45.4	18
45.5	13
45.6	19
45.7	7
45.8	19
45.9	11
46.0	13
