 0 1   0 0
 0,16493362 0,98642927   0,16493362 0,16493362
 0,16650441 0,98617011   0,16650441 0,16650441
 0,1680752 0,98590857   0,1680752 0,1680752
 0,16964601 0,98564458   0,16964601 0,16964601
 0,1712168 0,98537821   0,1712168 0,1712168
 0,17278761 0,98510933   0,17278761 0,17278761
 0,1743584 0,98483807   0,1743584 0,1743584
 0,17592919 0,98456436   0,17592919 0,17592919
 0,17749999 0,98428822   0,17749999 0,17749999
 0,17907079 0,98400962   0,17907079 0,17907079
 0,18064158 0,98372865   0,18064158 0,18064158
 0,18221238 0,98344523   0,18221238 0,18221238
 0,18378317 0,98315936   0,18378317 0,18378317
 0,18535396 0,98287106   0,18535396 0,18535396
 0,18692477 0,98258036   0,18692477 0,18692477
 0,18849556 0,98228723   0,18849556 0,18849556
 0,19006635 0,98199171   0,19006635 0,19006635
 0,19163716 0,98169374   0,19163716 0,19163716
 0,19320795 0,98139334   0,19320795 0,19320795
 0,19477876 0,98109049   0,19477876 0,19477876
 0,19634955 0,98078525   0,19634955 0,19634955
 0,19792034 0,98047763   0,19792034 0,19792034
 0,19949114 0,98016757   0,19949114 0,19949114
 0,20106193 0,97985506   0,20106193 0,20106193
 0,20263273 0,97954017   0,20263273 0,20263273
 0,20420353 0,97922283   0,20420353 0,20420353
 0,20577432 0,97890306   0,20577432 0,20577432
 0,20734511 0,97858089   0,20734511 0,20734511
 0,20891592 0,97825634   0,20891592 0,20891592
 0,21048671 0,97792935   0,21048671 0,21048671
 0,21205752 0,97759992   0,21205752 0,21205752
 0,21362831 0,9772681   0,21362831 0,21362831
 0,2151991 0,9769339   0,2151991 0,2151991
 0,2167699 0,97659725   0,2167699 0,2167699
 0,21834069 0,97625822   0,21834069 0,21834069
 0,21991149 0,97591674   0,21991149 0,21991149
 0,22148229 0,97557288   0,22148229 0,22148229
 0,22305308 0,97522664   0,22305308 0,22305308
 0,22462387 0,97487795   0,22462387 0,22462387
 0,22619468 0,97452688   0,22619468 0,22619468
 0,22776547 0,97417337   0,22776547 0,22776547
 0,22933626 0,97381753   0,22933626 0,22933626
 0,23090707 0,97345918   0,23090707 0,23090707
 0,23247786 0,97309852   0,23247786 0,23247786
 0,23404866 0,9727354   0,23404866 0,23404866
 0,23561946 0,97236991   0,23561946 0,23561946
 0,23719025 0,97200203   0,23719025 0,23719025
 0,23876105 0,97163171   0,23876105 0,23876105
 0,24033184 0,97125906   0,24033184 0,24033184
 0,24190263 0,97088397   0,24190263 0,24190263
 0,24347344 0,97050649   0,24347344 0,24347344
 0,24504423 0,97012657   0,24504423 0,24504423
 0,24661502 0,96974432   0,24661502 0,24661502
 0,24818583 0,96935964   0,24818583 0,24818583
 0,24975662 0,96897262   0,24975662 0,24975662
 0,25132743 0,96858317   0,25132743 0,25132743
 0,25289822 0,96819133   0,25289822 0,25289822
 0,25446901 0,9677971   0,25446901 0,25446901
 0,2560398 0,96740049   0,2560398 0,2560398
 0,25761059 0,9670015   0,25761059 0,25761059
 0,25918141 0,96660012   0,25918141 0,25918141
 0,2607522 0,96619636   0,2607522 0,2607522
 0,26232299 0,96579015   0,26232299 0,26232299
 0,26389378 0,96538162   0,26389378 0,26389378
 0,26546457 0,96497071   0,26546457 0,26546457
 0,26703539 0,96455741   0,26703539 0,26703539
 0,26860619 0,96414173   0,26860619 0,26860619
 0,27017698 0,96372366   0,27017698 0,27017698
 0,27174777 0,96330327   0,27174777 0,27174777
 0,27331856 0,96288043   0,27331856 0,27331856
 0,27488935 0,96245521   0,27488935 0,27488935
 0,27646017 0,96202767   0,27646017 0,27646017
 0,27803096 0,96159774   0,27803096 0,27803096
 0,27960175 0,96116543   0,27960175 0,27960175
 0,28117254 0,96073073   0,28117254 0,28117254
 0,28274333 0,96029371   0,28274333 0,28274333
 0,28431416 0,95985425   0,28431416 0,28431416
 0,28588495 0,95941246   0,28588495 0,28588495
 0,28745574 0,95896828   0,28745574 0,28745574
 0,28902653 0,95852178   0,28902653 0,28902653
 0,29059732 0,9580729   0,29059732 0,29059732
 0,29216811 0,95762163   0,29216811 0,29216811
 0,29373893 0,95716804   0,29373893 0,29373893
 0,29530972 0,95671207   0,29530972 0,29530972
 0,29688051 0,95625371   0,29688051 0,29688051
 0,2984513 0,95579302   0,2984513 0,2984513
 0,3000221 0,95532995   0,3000221 0,3000221
 0,30159289 0,95486456   0,30159289 0,30159289
